time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-28 00:00:00+00:00,66,21,32,13
2024-04-29 00:00:00+00:00,51,19,46,11
2024-04-30 00:00:00+00:00,94,33,26,20
2024-05-01 00:00:00+00:00,112,25,24,16
2024-05-02 00:00:00+00:00,171,67,42,24
2024-05-03 00:00:00+00:00,121,61,53,17
2024-05-04 00:00:00+00:00,77,40,14,12
2024-05-05 00:00:00+00:00,69,33,10,6
2024-05-06 00:00:00+00:00,96,59,27,17
2024-05-07 00:00:00+00:00,77,42,32,15
2024-05-08 00:00:00+00:00,82,40,39,19
2024-05-09 00:00:00+00:00,95,45,42,22
2024-05-10 00:00:00+00:00,91,38,75,23
2024-05-11 00:00:00+00:00,63,23,48,8
