time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-06 00:00:00+00:00,30,13,14,7
2024-11-07 00:00:00+00:00,18,5,9,9
2024-11-08 00:00:00+00:00,22,9,29,19
2024-11-09 00:00:00+00:00,21,8,8,7
2024-11-10 00:00:00+00:00,20,7,11,10
2024-11-11 00:00:00+00:00,27,8,12,9
2024-11-12 00:00:00+00:00,31,9,23,14
2024-11-13 00:00:00+00:00,19,6,14,11
2024-11-14 00:00:00+00:00,19,8,27,10
2024-11-15 00:00:00+00:00,22,7,30,14
2024-11-16 00:00:00+00:00,19,7,34,9
2024-11-17 00:00:00+00:00,15,3,22,8
2024-11-18 00:00:00+00:00,22,7,26,16
2024-11-19 00:00:00+00:00,24,10,16,13
