url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,282,160
/elixir-tools/elixir-tools.nvim/issues,36,17
/elixir-tools/elixir-tools.nvim/blob/main/README.md,21,7
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,18,3
/elixir-tools/elixir-tools.nvim/releases/tag/v0.15.0,9,8
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,9,4
/elixir-tools/elixir-tools.nvim/pulls,7,5
/elixir-tools/elixir-tools.nvim/tree/main,7,3
/elixir-tools/elixir-tools.nvim/tree/main/doc,6,3
/elixir-tools/elixir-tools.nvim/tree/main/ftplugin,6,3
