url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,163,101
/elixir-tools/elixir-tools.nvim/issues,11,5
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,3,2
/elixir-tools/elixir-tools.nvim/releases,2,2
/elixir-tools/elixir-tools.nvim/blob/f7e18753f5587b422aac628249fa46c66ed24af3/lua/elixir/elixirls/init.lua,2,1
/elixir-tools/elixir-tools.nvim/releases/tag/stable,2,1
/elixir-tools/elixir-tools.nvim/actions,1,1
/elixir-tools/elixir-tools.nvim/blob/f7e18753f5587b422aac628249fa46c66ed24af3/queries/elixir/injections.scm,1,1
/elixir-tools/elixir-tools.nvim/blob/f7e18753f5587b422aac628249fa46c66ed24af3/README.md,1,1
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,1,1
