url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,48,38
/elixir-tools/elixir-tools.nvim/issues,4,3
/elixir-tools/elixir-tools.nvim/issues/248,2,1
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,1,1
/elixir-tools/elixir-tools.nvim/forks,1,1
/elixir-tools/elixir-tools.nvim/graphs/commit-activity,1,1
/elixir-tools/elixir-tools.nvim/issues/123,1,1
/elixir-tools/elixir-tools.nvim/issues/245,1,1
/elixir-tools/elixir-tools.nvim/issues/83,1,1
/elixir-tools/elixir-tools.nvim/pull/250,1,1
